,symbol,exchange,name,date,type,iexId,region,currency,isEnabled,figi,cik
8214,UUUU,ASE,Energy Fuels Inc.,2020-03-28,cs,IEX_4258463347582D52,US,USD,True,BBG000BXTPV3,
8215,UUUU+,ASE,Energy Fuels Inc Warrant 2016-20.09.2021 on Shs Energy Fuels,2020-03-28,wt,IEX_4734484758592D52,US,USD,True,BBG00FM54WX9,
8216,UVE,NYS,Universal Insurance Holdings Inc.,2020-03-28,cs,IEX_4A44505636572D52,US,USD,True,BBG000B9YY14,891166
8217,UVSP,NAS,Univest Financial Corporation,2020-03-28,cs,IEX_4A53325137312D52,US,USD,True,BBG000BRTL90,102212
8218,UVV,NYS,Universal Corp,2020-03-28,cs,IEX_46504E5A34382D52,US,USD,True,BBG000BW93R1,102037
8219,UVXY,PSE,ProShares Ultra VIX Short-Term Futures ETF,2020-03-28,et,IEX_48365A3042372D52,US,USD,True,BBG0024QY1Y6,
8220,UWM,PSE,ProShares Ultra Russell2000,2020-03-28,et,IEX_504E355933322D52,US,USD,True,BBG000BB4DB7,
8221,UWT,PSE,VelocityShares 3x Long Crude Oil ETN,2020-03-28,et,IEX_4E4D394437572D52,US,USD,True,BBG00FH3KPK1,
8222,UXI,PSE,ProShares Ultra Industrials,2020-03-28,et,IEX_4B4D464D37502D52,US,USD,True,BBG000QXF9K0,
8223,UXIN,NAS,Uxin Ltd. Sponsored ADR,2020-03-28,ad,IEX_5636424E37372D52,US,USD,True,BBG00L1HXR44,1741562
8224,UYG,PSE,ProShares Ultra Financials,2020-03-28,et,IEX_444259344A312D52,US,USD,True,BBG000QXF181,
8225,UYM,PSE,ProShares Ultra Basic Materials,2020-03-28,et,IEX_43354C5443302D52,US,USD,True,BBG000QXDC07,
8226,UZA,NYS,United States Cellular Corp 6.95 % Notes 2011-17.5.60 Sr,2020-03-28,ps,IEX_5733515646522D52,US,USD,True,,821130
8227,UZB,NYS,United States Cellular Corp 7.25 % Notes 2014-1.12.63 Sr,2020-03-28,ps,IEX_4831324446372D52,US,USD,True,,821130
8228,UZC,NYS,United States Cellular Corp 7.25 % Notes 2015-1.12.64,2020-03-28,ps,IEX_474C533742462D52,US,USD,True,,
8229,V,NYS,Visa Inc. Class A,2020-03-28,cs,IEX_4C43314254462D52,US,USD,True,BBG000PSKYX7,1403161
8230,VAC,NYS,Marriott Vacations Worldwide Corporation,2020-03-28,cs,IEX_423054584B472D52,US,USD,True,BBG001J2R5H3,1524358
8231,VAL,NYS,Valaris PLC Class A,2020-03-28,cs,IEX_524A3357434A2D52,US,USD,True,BBG000BJ2VQ6,314808
8232,VALE,NYS,Vale S.A. Sponsored ADR,2020-03-28,ad,IEX_51394A594C382D52,US,USD,True,BBG000BN5LG7,917851
8233,VALQ,PSE,American Century STOXX U.S. Quality Value ETF,2020-03-28,et,IEX_44474B31474C2D52,US,USD,True,BBG00JQ0D7T8,
8234,VALT,PSE,ETFMG Sit Ultra Short ETF,2020-03-28,et,IEX_4443594E57572D52,US,USD,True,BBG00PPRLP80,
8235,VALU,NAS,Value Line Inc.,2020-03-28,cs,IEX_5633525746512D52,US,USD,True,BBG000BWBMM1,717720
8236,VALX,NAS,Validea Market Legends ETF,2020-03-28,et,IEX_4E53424453382D52,US,USD,True,BBG007PP0KB4,
8237,VAM,NYS,Vivaldi Opportunities Fund,2020-03-28,cef,IEX_584A5436594C2D52,US,USD,True,BBG00KVY5VQ4,
8238,VAMO,BATS,Cambria Value & Momentum ETF,2020-03-28,et,IEX_5831365731592D52,US,USD,True,BBG009YVM232,
8239,VAPO,NYS,Vapotherm Inc.,2020-03-28,cs,IEX_5753425037502D52,US,USD,True,BBG0026ZCKM9,1253176
8240,VAR,NYS,Varian Medical Systems Inc.,2020-03-28,cs,IEX_5652314632482D52,US,USD,True,BBG000BWBZN1,203527
8241,VAW,PSE,Vanguard Materials ETF,2020-03-28,et,IEX_4253304D34542D52,US,USD,True,BBG000HSWLH9,
8242,VB,PSE,Vanguard Small-Cap ETF,2020-03-28,et,IEX_4633503847572D52,US,USD,True,BBG000HT3Z79,
